,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28-346,1995,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25-294,1998,22.9,0,12,4,33.3,0.52,0.17,0.0,0.0,15.8,0,0,0,1.2,1.2,0.1,-1.2,-1.2
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19-364,2004,4.7,0,6,3,50.0,1.28,0.64,0.0,0.0,,,0,0,,,,,
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,27-178,1996,18.4,5,44,14,31.8,2.39,0.76,0.11,0.36,12.4,0,0,0,6.5,6.5,0.15,-1.5,-1.5
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,MF,35-294,1988,6.6,0,4,2,50.0,0.61,0.3,0.0,0.0,16.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,29-055,1995,7.5,0,4,0,0.0,0.53,0.0,0.0,,9.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",21-120,2002,4.1,2,18,8,44.4,4.35,1.94,0.11,0.25,14.7,0,0,0,3.0,3.0,0.17,-1.0,-1.0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,21-194,2002,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"DF,FW",20-050,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22-262,2001,19.8,0,23,5,21.7,1.16,0.25,0.0,0.0,25.7,0,0,0,0.9,0.9,0.04,-0.9,-0.9
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,20-056,2004,6.6,0,8,2,25.0,1.21,0.3,0.0,0.0,25.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",33-094,1990,11.1,3,28,12,42.9,2.53,1.08,0.11,0.25,15.8,1,0,0,3.6,3.6,0.13,-0.6,-0.6
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,19-132,2004,13.4,6,30,19,63.3,2.23,1.41,0.2,0.32,15.6,0,0,0,3.8,3.8,0.13,2.2,2.2
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"MF,FW",19-067,2004,10.1,3,15,6,40.0,1.48,0.59,0.2,0.5,17.1,0,0,0,1.8,1.8,0.12,1.2,1.2
ENG-Premier League,2324,Brighton,Igor,BRA,DF,26-021,1998,11.0,0,2,0,0.0,0.18,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18-323,2005,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,1.1,1.1
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24-327,1999,1.5,0,3,0,0.0,2.03,0.0,0.0,,12.3,0,0,0,0.3,0.3,0.1,-0.3,-0.3
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",38-055,1986,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,17.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23-265,2000,19.3,0,13,6,46.2,0.67,0.31,0.0,0.0,10.2,0,0,0,1.1,1.1,0.09,-1.1,-1.1
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,33-194,1990,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",22-155,2001,15.5,8,44,15,34.1,2.84,0.97,0.09,0.27,15.0,0,4,4,8.4,5.2,0.12,-0.4,-1.2
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,32-044,1992,10.6,0,2,2,100.0,0.19,0.19,0.0,0.0,20.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2324,Brighton,Julio César Enciso,PAR,"MF,FW",20-036,2004,1.0,0,6,2,33.3,6.21,2.07,0.0,0.0,19.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26-284,1997,16.5,3,34,15,44.1,2.06,0.91,0.09,0.2,13.2,0,0,0,3.5,3.5,0.1,-0.5,-0.5
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,32-099,1991,21.7,3,27,8,29.6,1.24,0.37,0.11,0.38,13.8,4,0,0,2.9,2.9,0.11,0.1,0.1
