,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Metz,Guillaume Dietsch,FRA,GK,22-317,2001,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100.0,63.0,14,1,7.1,0,0.0,3.0
FRA-Ligue 1,2324,Monaco,Philipp Köhn,SUI,GK,25-332,1998,22.0,32,5,1,6,1,32.0,0.27,1.0,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3
FRA-Ligue 1,2324,Monaco,Radosław Majecki,POL,GK,24-104,1999,1.0,2,0,0,0,0,3.1,0.37,1.1,1.11,4,15,26.7,25,9,28.0,30.4,12,66.7,45.6,21,1,4.8,0,0.0,6.3
FRA-Ligue 1,2324,Montpellier,Benjamin Lecomte,FRA,GK,32-308,1991,23.0,31,2,2,2,3,29.0,0.24,1.0,0.04,122,345,35.4,586,100,46.9,37.1,177,39.5,35.6,350,18,5.1,3,0.13,8.3
FRA-Ligue 1,2324,Nantes,Alban Lafont,FRA,GK,25-036,1999,16.7,22,4,0,1,0,23.0,0.28,1.0,0.06,71,232,30.6,518,78,32.2,32.8,104,62.5,46.5,226,19,8.4,20,1.2,13.7
FRA-Ligue 1,2324,Nantes,Denis Petrić,SRB,GK,35-280,1988,0.3,1,0,0,1,0,0.3,0.28,-0.7,-2.71,1,2,50.0,7,2,28.6,30.7,0,,,4,0,0.0,0,0.0,
FRA-Ligue 1,2324,Nantes,Rémy Descamps,FRA,GK,27-248,1996,6.0,11,1,0,0,0,12.5,0.35,1.5,0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,116,8,6.9,0,0.0,7.8
FRA-Ligue 1,2324,Nice,Marcin Bułka,POL,GK,24-147,1999,23.0,15,2,0,0,0,19.6,0.24,4.6,0.2,49,110,44.5,717,109,12.4,23.0,94,22.3,24.8,234,17,7.3,12,0.52,11.9
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22-274,2001,2.9,2,0,0,1,0,2.3,0.18,0.3,0.12,3,17,17.6,84,12,15.5,26.8,21,19.0,28.3,42,1,2.4,3,1.04,15.1
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,25-003,1999,19.1,16,2,0,2,0,23.3,0.28,7.3,0.38,28,65,43.1,505,88,10.7,23.6,103,10.7,20.9,222,12,5.4,18,0.94,13.3
