,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,26-058,1998,10.3,32,20,8,19,5,13,23,56.5,10,14,6,8,18,50,14,0
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27-349,1996,7.0,8,2,0,4,4,2,8,25.0,6,3,0,3,6,14,7,0
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",25-128,1998,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-006,2001,10.2,16,6,5,10,1,6,10,60.0,4,7,1,6,5,21,9,0
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",22-093,2001,2.9,2,1,1,1,0,0,3,0.0,3,0,0,0,1,3,3,0
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25-317,1998,11.4,23,12,15,7,1,16,25,64.0,9,12,5,7,14,37,45,1
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24-249,1999,13.7,27,18,20,6,1,16,35,45.7,19,9,2,7,13,40,49,0
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30-260,1993,24.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,0
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,28-058,1996,16.0,33,18,17,13,3,15,61,24.6,46,28,4,24,11,44,17,1
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33-311,1990,4.1,7,4,6,0,1,4,9,44.4,5,3,1,2,7,14,13,0
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19-309,2004,0.7,3,0,2,1,0,2,4,50.0,2,7,0,7,1,4,0,1
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23-240,2000,4.0,14,7,7,5,2,8,22,36.4,14,8,1,7,7,21,3,1
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",21-163,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22-304,2001,18.5,19,10,11,7,1,10,17,58.8,7,24,13,11,29,48,98,4
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,27-198,1996,13.1,10,7,4,5,1,3,13,23.1,10,8,0,8,2,12,3,0
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26-235,1997,4.5,7,5,3,3,1,6,7,85.7,1,8,3,5,5,12,5,1
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,30-175,1993,7.8,25,17,19,4,2,16,27,59.3,11,8,2,6,5,30,11,0
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,27-074,1996,4.6,21,8,13,8,0,12,21,57.1,9,9,0,9,5,26,14,0
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25-326,1998,2.4,4,4,2,2,0,1,5,20.0,4,5,1,4,3,7,6,0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28-346,1995,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25-294,1998,22.9,41,24,17,17,7,24,49,49.0,25,21,6,15,19,60,42,1
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19-364,2004,4.7,,8,,,,,,,,,,,3,,,
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,27-178,1996,18.4,18,12,7,7,4,1,13,7.7,12,14,3,11,6,24,9,0
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,MF,35-294,1988,6.6,7,2,3,4,0,0,3,0.0,3,2,1,1,2,9,1,0
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,29-055,1995,7.5,10,10,7,2,1,5,14,35.7,9,6,3,3,7,17,29,1
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",21-120,2002,4.1,3,1,1,1,1,0,7,0.0,7,5,0,5,2,5,2,0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,21-194,2002,12.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,2
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"DF,FW",20-050,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22-262,2001,19.8,21,14,13,6,2,9,30,30.0,21,21,8,13,8,29,14,1
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,20-056,2004,6.6,23,11,11,10,2,11,23,47.8,12,14,4,10,11,34,15,1
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",33-094,1990,11.1,17,8,4,9,4,6,11,54.5,5,10,0,10,5,22,14,1
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,19-132,2004,13.4,13,6,3,7,3,5,14,35.7,9,10,3,7,2,15,6,0
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"MF,FW",19-067,2004,10.1,30,15,8,17,5,10,27,37.0,17,17,3,14,5,35,4,0
ENG-Premier League,2324,Brighton,Igor,BRA,DF,26-021,1998,11.0,17,11,4,11,2,10,17,58.8,7,13,6,7,9,26,30,0
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18-323,2005,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24-327,1999,1.5,8,5,2,3,3,5,7,71.4,2,2,0,2,0,8,4,0
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",38-055,1986,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23-265,2000,19.3,34,20,18,13,3,20,34,58.8,14,37,20,17,23,57,63,4
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,33-194,1990,14.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,5,0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",22-155,2001,15.5,23,13,7,11,5,9,17,52.9,8,10,1,9,9,32,23,0
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,32-044,1992,10.6,28,23,14,11,3,18,30,60.0,12,13,7,6,12,40,35,1
ENG-Premier League,2324,Brighton,Julio César Enciso,PAR,"MF,FW",20-036,2004,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26-284,1997,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,32-099,1991,21.7,19,10,12,6,1,7,27,25.9,20,33,25,8,19,38,48,1
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,28-058,1996,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32-258,1991,23.2,47,29,20,15,12,20,47,42.6,27,31,6,25,16,63,22,2
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,26-038,1998,9.9,17,8,7,8,2,9,21,42.9,12,11,2,9,16,33,13,0
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,22-058,2002,14.7,21,11,12,5,4,10,26,38.5,16,14,1,13,12,33,10,0
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29-223,1994,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",23-151,2000,5.7,9,7,6,3,0,3,11,27.3,8,2,2,0,5,14,1,0
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",21-038,2003,5.9,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21-359,2002,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",23-113,2000,1.7,1,0,1,0,0,0,4,0.0,4,2,0,2,0,1,1,1
ENG-Premier League,2324,Burnley,Benson Manuel,BEL,"MF,FW",26-337,1997,0.9,2,2,1,1,0,0,0,,0,1,0,1,0,2,0,0
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,30-163,1993,17.1,27,14,14,12,1,13,27,48.1,14,20,8,12,15,42,57,0
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,28-158,1995,9.1,12,5,6,4,2,8,17,47.1,9,8,6,2,4,16,25,2
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24-361,1999,21.4,20,11,12,6,2,7,12,58.3,5,29,21,8,21,41,110,1
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,21-068,2002,3.7,2,1,0,1,1,0,2,0.0,2,3,1,2,0,2,0,0
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22-236,2001,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
ENG-Premier League,2324,Burnley,Hannes Delcroix,BEL,DF,25-000,1999,6.3,10,6,6,4,0,3,4,75.0,1,8,2,6,8,18,22,0
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,25-130,1998,3.6,2,1,1,1,0,0,1,0.0,1,4,2,2,4,6,17,0
ENG-Premier League,2324,Burnley,Jack Cork,ENG,MF,34-248,1989,0.2,2,0,0,2,0,1,3,33.3,2,0,0,0,0,2,1,0
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",25-162,1998,5.4,4,2,2,0,2,3,7,42.9,4,1,0,1,3,7,6,0
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,21-141,2002,26.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,17,1
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34-214,1989,8.1,12,8,5,4,3,6,10,60.0,4,10,1,9,1,13,8,0
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23-285,2000,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,28-071,1995,22.0,47,31,17,21,9,20,28,71.4,8,28,7,21,29,76,32,1
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27-327,1996,11.0,20,13,9,9,2,12,21,57.1,9,20,11,9,7,27,15,0
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,MF,33-124,1990,11.6,13,4,6,5,2,7,15,46.7,8,13,0,13,14,27,14,0
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23-251,2000,3.9,12,7,6,6,0,7,9,77.8,2,6,2,4,3,15,12,0
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",19-166,2004,10.8,7,4,2,5,0,2,10,20.0,8,13,0,13,2,9,0,0
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,FW,23-178,2000,12.5,15,7,3,5,7,4,12,33.3,8,11,3,8,2,17,19,0
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21-278,2002,3.1,4,2,3,1,0,3,6,50.0,3,4,2,2,3,7,19,0
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,"FW,MF",23-237,2000,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24-276,1999,4.5,10,6,9,1,0,8,17,47.1,9,5,0,5,1,11,1,0
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29-359,1994,1.6,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,3,0
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,26-014,1998,21.4,48,27,22,23,3,24,43,55.8,19,35,15,20,18,66,46,1
ENG-Premier League,2324,Burnley,Vitinho,BRA,DF,24-220,1999,16.0,44,21,27,13,4,30,59,50.8,29,22,1,21,10,54,29,3
