,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24-275,1999,21.0,1126,92,402,462,273,23,1126,25,15,60.0,10,40.0,456,1890,790,12,20,0,27,9,504,45
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19-280,2004,0.7,37,0,4,14,19,5,37,3,0,0.0,3,100.0,19,83,12,0,0,0,6,2,28,7
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,"FW,MF",28-034,1996,0.9,39,2,10,15,17,3,39,7,4,57.1,3,42.9,28,300,182,4,4,1,4,4,30,7
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,29-165,1994,0.4,12,0,1,6,6,4,12,3,3,100.0,0,0.0,5,29,15,0,0,0,0,0,8,0
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,"FW,MF",27-301,1996,13.8,776,11,100,366,330,46,776,40,20,50.0,19,47.5,534,3457,1592,53,45,15,31,18,607,106
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,28-058,1996,20.0,1013,17,97,438,486,40,1013,26,14,53.8,12,46.2,541,3000,1457,40,36,9,31,32,667,84
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,26-204,1997,24.4,1675,108,603,649,448,40,1675,58,25,43.1,26,44.8,846,5239,2651,66,46,4,32,11,918,126
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,22-171,2001,0.4,14,0,1,3,10,1,14,2,2,100.0,0,0.0,10,53,29,1,0,0,2,2,14,4
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31-361,1992,26.0,1118,817,1110,8,0,0,1118,0,0,,0,,698,3247,1820,0,0,0,1,0,640,0
ENG-Premier League,2324,Fulham,Bobby Reid,JAM,FW,31-026,1993,12.9,549,19,78,248,228,40,549,20,6,30.0,10,50.0,337,1581,716,29,17,8,25,7,399,77
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,24-059,1999,13.6,1040,119,541,490,23,6,1040,10,7,70.0,2,20.0,656,3395,1697,7,7,1,7,4,716,4
