,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25-308,1998,9.4,323,436,74.1,5416,1961,161,188,85.6,132,170,77.6,25,59,42.4,1,1.6,1.9,-0.6,7,34,1,1,35
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24-240,1999,12.5,288,452,63.7,4798,1524,142,185,76.8,119,187,63.6,22,53,41.5,2,0.9,0.7,1.1,9,16,14,12,25
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30-251,1993,22.5,719,989,72.7,19274,12553,116,118,98.3,393,394,99.7,207,471,43.9,1,0.2,0.1,0.8,1,21,1,0,2
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,28-049,1996,15.0,543,742,73.2,10836,4005,219,257,85.2,204,263,77.6,100,173,57.8,3,2.9,3.3,0.1,27,53,23,5,78
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33-302,1990,2.1,83,128,64.8,1403,880,40,48,83.3,35,51,68.6,7,23,30.4,0,0.3,0.1,-0.3,1,14,4,1,16
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19-300,2004,0.7,27,40,67.5,347,74,17,20,85.0,7,10,70.0,1,5,20.0,0,0.0,0.0,0.0,0,2,1,0,4
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23-231,2000,3.8,128,189,67.7,2154,776,62,83,74.7,49,64,76.6,13,30,43.3,0,0.6,0.5,-0.6,5,21,3,1,28
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",21-154,2002,0.1,6,10,60.0,68,10,5,5,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22-295,2001,18.1,878,1062,82.7,16029,5607,321,363,88.4,467,528,88.4,73,135,54.1,1,1.5,0.7,-0.5,6,48,2,0,63
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,27-189,1996,12.1,220,307,71.7,3077,711,137,167,82.0,51,72,70.8,16,24,66.7,3,2.3,2.1,0.7,13,11,17,2,32
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26-226,1997,4.5,147,183,80.3,2291,763,82,94,87.2,51,61,83.6,11,19,57.9,1,1.0,0.8,0.0,4,10,7,2,20
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,30-166,1993,7.8,311,427,72.8,5344,1643,154,175,88.0,128,161,79.5,26,77,33.8,0,1.1,0.9,-1.1,9,27,9,4,32
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,27-065,1996,3.0,67,105,63.8,1165,501,29,41,70.7,26,39,66.7,8,14,57.1,1,0.8,0.4,0.2,2,2,3,3,5
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25-317,1998,2.4,61,84,72.6,1042,284,32,38,84.2,22,24,91.7,6,14,42.9,0,0.1,0.3,-0.1,2,7,1,0,5
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28-337,1995,1.5,52,71,73.2,1509,977,6,6,100.0,27,28,96.4,19,37,51.4,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25-285,1998,21.9,723,932,77.6,11444,3234,389,447,87.0,263,331,79.5,51,96,53.1,2,3.8,2.4,-1.8,25,61,19,7,81
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19-355,2004,4.7,,,,,,,,,,,,,,,0,,,,,,,,
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,27-169,1996,17.5,199,279,71.3,2564,655,127,158,80.4,55,78,70.5,6,12,50.0,1,1.9,1.2,-0.9,16,14,9,3,24
