,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brighton,Igor,BRA,DF,26-012,1998,10.3,879,943,93.2,13981,4122,413,431,95.8,421,438,96.1,31,42,73.8,0,0.3,0.2,-0.3,4,71,1,0,76
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18-314,2005,9.7,418,498,83.9,5999,1172,233,267,87.3,156,175,89.1,9,22,40.9,0,0.7,0.4,-0.7,8,24,5,1,19
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24-318,1999,1.5,57,72,79.2,726,202,41,45,91.1,14,21,66.7,1,4,25.0,0,0.1,0.2,-0.1,1,3,1,0,4
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",38-046,1986,8.6,492,585,84.1,7622,2496,269,297,90.6,181,210,86.2,27,46,58.7,2,1.8,1.7,0.2,16,46,17,6,69
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23-256,2000,18.3,1663,1790,92.9,28703,11206,704,744,94.6,829,874,94.9,104,134,77.6,0,0.7,0.9,-0.7,6,109,7,1,108
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,33-185,1990,14.0,470,567,82.9,10233,6957,151,152,99.3,217,221,98.2,96,186,51.6,0,0.0,0.0,0.0,0,3,0,0,0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",22-146,2001,15.5,448,562,79.7,5880,1229,286,325,88.0,125,158,79.1,14,27,51.9,2,2.3,2.9,-0.3,20,32,31,1,64
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,32-035,1992,10.2,463,557,83.1,7537,1960,232,259,89.6,194,224,86.6,34,57,59.6,1,0.4,0.3,0.6,2,31,2,0,43
ENG-Premier League,2324,Brighton,Julio César Enciso,PAR,MF,20-027,2004,0.8,17,24,70.8,235,67,10,13,76.9,5,6,83.3,1,1,100.0,2,0.7,0.6,1.3,2,1,0,0,0
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26-275,1997,16.5,509,650,78.3,6210,1486,357,413,86.4,110,153,71.9,9,24,37.5,4,2.7,3.6,1.3,25,23,34,5,64
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,32-090,1991,20.7,2042,2225,91.8,35184,13041,925,956,96.8,916,976,93.9,159,236,67.4,1,0.7,2.1,0.3,9,166,7,1,120
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,28-049,1996,5.0,284,328,86.6,4011,886,169,176,96.0,84,99,84.8,16,25,64.0,1,0.9,0.4,0.1,10,21,1,1,11
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32-249,1991,22.2,1743,2042,85.4,27210,8241,972,1035,93.9,593,673,88.1,125,236,53.0,9,6.5,6.5,2.5,67,148,53,19,197
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,26-029,1998,9.5,590,695,84.9,8756,2871,339,375,90.4,205,237,86.5,27,47,57.4,3,3.0,1.8,0.0,18,55,22,9,67
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,22-049,2002,13.7,360,471,76.4,5106,912,227,276,82.2,107,141,75.9,15,23,65.2,1,2.1,1.4,-1.1,18,9,19,6,23
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29-214,1994,6.2,203,261,77.8,3145,899,118,139,84.9,62,78,79.5,17,27,63.0,1,1.0,1.0,0.0,7,10,7,0,24
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",23-142,2000,5.1,220,260,84.6,3220,544,121,135,89.6,80,97,82.5,9,13,69.2,3,0.5,0.3,2.5,4,6,6,2,13
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",21-029,2003,5.9,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90.0,0,0.4,0.5,-0.4,1,7,2,0,8
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21-350,2002,11.7,537,637,84.3,9642,2939,208,220,94.5,280,321,87.2,42,77,54.5,0,0.1,0.6,-0.1,2,13,2,0,35
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",23-104,2000,1.7,43,70,61.4,714,120,23,31,74.2,13,21,61.9,6,11,54.5,0,0.0,0.1,0.0,2,2,2,1,2
ENG-Premier League,2324,Burnley,Benson Manuel,BEL,"MF,FW",26-328,1997,0.8,22,29,75.9,334,32,12,12,100.0,8,10,80.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,1,0
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,30-154,1993,16.3,634,814,77.9,11048,3581,314,357,88.0,251,314,79.9,60,111,54.1,1,0.5,0.6,0.5,7,50,9,7,55
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,28-149,1995,9.1,395,495,79.8,6987,2370,162,182,89.0,194,222,87.4,34,67,50.7,1,0.2,0.4,0.8,7,32,8,2,38
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24-352,1999,20.4,906,1134,79.9,18173,6971,282,338,83.4,507,560,90.5,110,203,54.2,3,1.5,0.5,1.5,9,96,3,1,88
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,21-059,2002,2.7,17,29,58.6,184,43,10,14,71.4,5,6,83.3,0,0,,1,1.3,0.0,-0.3,3,1,0,0,0
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22-227,2001,0.2,6,12,50.0,74,42,5,7,71.4,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2324,Burnley,Hannes Delcroix,BEL,DF,24-356,1999,6.3,298,346,86.1,4884,1634,144,153,94.1,135,153,88.2,15,30,50.0,0,0.2,0.1,-0.2,4,24,3,2,18
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,25-121,1998,3.6,137,157,87.3,2441,686,46,50,92.0,82,90,91.1,7,12,58.3,0,0.1,0.0,-0.1,1,8,0,0,9
ENG-Premier League,2324,Burnley,Jack Cork,ENG,"MF,DF",34-239,1989,0.2,12,19,63.2,206,34,4,7,57.1,7,7,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",25-153,1998,5.4,140,196,71.4,2095,436,77,100,77.0,45,62,72.6,10,18,55.6,0,0.5,0.4,-0.5,11,5,6,0,15
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,21-132,2002,25.0,894,1327,67.4,20986,14640,289,293,98.6,386,397,97.2,215,620,34.7,0,0.0,0.1,0.0,0,22,1,0,5
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34-205,1989,8.1,117,184,63.6,1583,335,73,101,72.3,32,46,69.6,6,22,27.3,1,0.2,0.1,0.8,4,13,2,0,14
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23-276,2000,13.7,766,861,89.0,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,1,0.3,0.2,0.7,3,28,1,0,25
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,28-062,1995,21.7,708,931,76.0,11086,2873,369,439,84.1,265,333,79.6,45,100,45.0,1,1.6,1.8,-0.6,26,54,13,0,73
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27-318,1996,10.4,495,583,84.9,7908,1685,265,287,92.3,198,219,90.4,24,52,46.2,1,0.7,0.9,0.3,8,36,8,1,42
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,MF,33-115,1990,10.7,306,419,73.0,5828,1827,122,138,88.4,125,155,80.6,48,96,50.0,2,2.3,2.1,-0.3,30,31,14,4,48
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23-242,2000,2.9,50,71,70.4,738,245,27,33,81.8,22,29,75.9,0,5,0.0,1,0.9,0.2,0.1,1,2,1,1,3
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",19-157,2004,10.8,192,274,70.1,2509,475,126,153,82.4,56,79,70.9,2,9,22.2,1,1.3,1.1,-0.3,11,9,6,2,19
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,FW,23-169,2000,12.5,167,254,65.7,2439,375,100,141,70.9,51,70,72.9,9,14,64.3,3,1.3,0.6,1.7,10,10,4,0,16
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21-269,2002,2.1,68,96,70.8,1183,363,26,33,78.8,38,45,84.4,4,14,28.6,0,0.0,0.0,0.0,0,4,0,0,7
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,"FW,MF",23-228,2000,0.2,4,5,80.0,55,2,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24-267,1999,4.5,117,174,67.2,1578,457,70,83,84.3,32,52,61.5,4,16,25.0,0,0.4,0.5,-0.4,7,5,2,0,10
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29-350,1994,1.6,48,73,65.8,723,137,30,36,83.3,11,19,57.9,4,9,44.4,0,0.3,0.4,-0.3,3,3,4,1,8
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,26-005,1998,20.4,697,816,85.4,11799,2319,311,352,88.4,316,351,90.0,53,73,72.6,1,0.9,0.5,0.1,13,53,5,1,74
ENG-Premier League,2324,Burnley,Vitinho,BRA,DF,24-211,1999,15.8,502,684,73.4,8048,2765,269,308,87.3,196,277,70.8,29,55,52.7,0,0.2,0.6,-0.2,6,35,11,1,53
ENG-Premier League,2324,Burnley,Wilson Odobert,FRA,"MF,FW",19-083,2004,11.0,163,217,75.1,2053,454,112,130,86.2,46,59,78.0,1,5,20.0,1,1.0,1.5,0.0,12,3,4,0,15
ENG-Premier League,2324,Burnley,Zeki Amdouni,SUI,FW,23-077,2000,18.9,341,434,78.6,5475,1069,180,225,80.0,125,143,87.4,23,32,71.9,1,1.4,1.2,-0.4,15,26,8,0,43
ENG-Premier League,2324,Chelsea,Alex Matos,ENG,MF,19-139,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Alfie Gilchrist,ENG,"DF,FW",20-083,2003,0.2,15,21,71.4,241,59,9,14,64.3,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,22-162,2001,5.0,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50.0,0,0.2,0.3,-0.2,3,2,2,0,6
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25-345,1998,22.7,1636,1821,89.8,27585,9318,704,735,95.8,849,905,93.8,72,139,51.8,0,0.2,0.9,-0.2,2,94,7,1,85
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,DF,27-060,1996,7.3,310,416,74.5,4508,1358,187,215,87.0,95,119,79.8,18,44,40.9,1,2.2,1.8,-1.2,13,24,2,2,23
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22-330,2001,6.2,448,498,90.0,7789,3128,188,198,94.9,230,251,91.6,25,37,67.6,1,0.5,0.6,0.5,3,22,2,0,25
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,ENG,MF,20-122,2003,1.9,85,99,85.9,1042,138,64,69,92.8,14,18,77.8,4,4,100.0,1,0.3,0.3,0.7,2,4,5,0,8
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,MF,21-040,2003,0.2,9,12,75.0,142,6,5,6,83.3,4,4,100.0,0,0,,0,0.1,0.1,-0.1,1,0,0,0,0
ENG-Premier League,2324,Chelsea,Christopher Nkunku,FRA,"FW,MF",26-097,1997,3.5,87,99,87.9,1045,238,59,62,95.2,15,18,83.3,2,3,66.7,0,0.1,0.3,-0.1,2,4,5,0,9
ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"FW,MF",21-289,2002,17.4,714,882,81.0,11786,3537,370,407,90.9,245,287,85.4,68,109,62.4,6,5.9,5.1,0.1,32,86,49,2,122
ENG-Premier League,2324,Chelsea,Conor Gallagher,ENG,MF,24-013,2000,22.2,1177,1328,88.6,17840,4016,664,711,93.4,412,445,92.6,67,104,64.4,4,3.2,2.6,0.8,32,97,27,3,126
ENG-Premier League,2324,Chelsea,Deivid Washington,BRA,DF,18-259,2005,0.1,1,1,100.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Enzo Fernández,ARG,MF,23-033,2001,19.0,1179,1398,84.3,21561,6188,508,554,91.7,490,551,88.9,148,208,71.2,0,1.9,2.7,-1.9,20,139,30,3,158
ENG-Premier League,2324,Chelsea,Ian Maatsen,NED,"FW,MF",21-346,2002,2.3,97,138,70.3,1316,400,60,73,82.2,26,46,56.5,4,8,50.0,0,0.1,0.2,-0.1,2,6,2,1,8
ENG-Premier League,2324,Chelsea,Lesley Ugochukwu,FRA,MF,19-330,2004,3.0,141,167,84.4,2263,583,71,80,88.8,59,69,85.5,8,9,88.9,0,0.0,0.1,0.0,1,9,4,0,15
ENG-Premier League,2324,Chelsea,Levi Colwill,ENG,DF,20-358,2003,19.1,905,1087,83.3,15316,5544,419,467,89.7,423,470,90.0,50,109,45.9,1,1.2,0.5,-0.2,7,77,5,0,68
ENG-Premier League,2324,Chelsea,Malo Gusto,FRA,DF,20-276,2003,13.2,851,983,86.6,12050,3318,529,572,92.5,264,310,85.2,37,55,67.3,4,2.9,1.9,1.1,17,30,15,7,52
ENG-Premier League,2324,Chelsea,Marc Cucurella,ESP,DF,25-212,1998,7.8,440,507,86.8,6639,1721,235,257,91.4,178,195,91.3,16,33,48.5,0,0.2,0.3,-0.2,6,24,2,0,26
ENG-Premier League,2324,Chelsea,Mason Burstow,ENG,FW,20-199,2003,0.1,3,4,75.0,29,1,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Moisés Caicedo,ECU,MF,22-109,2001,19.6,1153,1262,91.4,18227,4726,616,656,93.9,417,444,93.9,79,94,84.0,1,1.5,1.0,-0.5,14,108,8,0,98
ENG-Premier League,2324,Chelsea,Mykhailo Mudryk,UKR,FW,23-045,2001,9.7,215,321,67.0,2895,946,143,179,79.9,43,76,56.6,14,31,45.2,2,1.8,1.8,0.2,15,15,14,2,25
ENG-Premier League,2324,Chelsea,Nicolas Jackson,SEN,FW,22-244,2001,18.2,314,395,79.5,3801,938,198,230,86.1,68,86,79.1,12,15,80.0,3,2.7,1.9,0.3,19,24,11,0,40
ENG-Premier League,2324,Chelsea,Noni Madueke,ENG,FW,21-346,2002,3.9,151,188,80.3,1872,386,104,118,88.1,38,49,77.6,1,4,25.0,0,0.6,0.6,-0.6,7,4,5,1,16
ENG-Premier League,2324,Chelsea,Raheem Sterling,ENG,"FW,MF",29-073,1994,19.2,459,627,73.2,5956,1459,311,365,85.2,112,163,68.7,15,28,53.6,3,3.7,3.6,-0.7,23,24,34,7,67
ENG-Premier League,2324,Chelsea,Reece James,ENG,DF,24-073,1999,4.3,253,315,80.3,4003,1214,134,153,87.6,94,117,80.3,17,31,54.8,1,1.5,1.2,-0.5,10,18,6,3,20
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,26-093,1997,15.9,500,609,82.1,11860,7720,135,136,99.3,250,257,97.3,112,211,53.1,0,0.0,0.0,0.0,0,8,0,0,1
ENG-Premier League,2324,Chelsea,Roméo Lavia,BEL,MF,20-044,2004,0.4,22,27,81.5,350,51,9,10,90.0,13,14,92.9,0,1,0.0,0,0.0,0.0,0.0,0,4,0,0,1
ENG-Premier League,2324,Chelsea,Thiago Silva,BRA,DF,39-150,1984,22.0,1630,1728,94.3,29684,11449,641,667,96.1,855,884,96.7,124,158,78.5,0,0.6,0.5,-0.6,6,99,9,0,80
ENG-Premier League,2324,Chelsea,Trevoh Chalobah,ENG,DF,24-229,1999,0.2,1,2,50.0,10,2,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,24-134,1999,9.1,251,317,79.2,5775,3626,77,77,100.0,125,126,99.2,48,111,43.2,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2324,Crystal Palace,Adam Wharton,ENG,MF,19-262,2004,1.7,45,60,75.0,770,309,21,28,75.0,21,22,95.5,2,4,50.0,0,0.1,0.0,-0.1,2,3,0,0,6
ENG-Premier League,2324,Crystal Palace,Cheick Doucouré,MLI,MF,24-042,2000,10.2,367,422,87.0,5725,1849,200,222,90.1,146,165,88.5,18,24,75.0,0,0.7,0.8,-0.7,10,39,5,0,49
ENG-Premier League,2324,Crystal Palace,Chris Richards,USA,"MF,DF",23-328,2000,12.3,325,401,81.0,5621,1623,151,178,84.8,137,160,85.6,33,45,73.3,0,0.1,0.1,-0.1,2,16,1,0,19
ENG-Premier League,2324,Crystal Palace,Daniel Muñoz,COL,DF,27-269,1996,2.0,60,72,83.3,804,196,39,41,95.1,19,25,76.0,1,4,25.0,0,0.1,0.0,-0.1,3,0,0,0,3
ENG-Premier League,2324,Crystal Palace,David Ozoh,ENG,MF,18-264,2005,1.5,38,41,92.7,546,82,16,17,94.1,20,20,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,3
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26-344,1997,8.0,142,237,59.9,4269,3136,22,22,100.0,77,79,97.5,43,136,31.6,0,0.0,0.0,0.0,0,5,1,0,0
ENG-Premier League,2324,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25-235,1998,12.9,387,505,76.6,6278,1752,190,218,87.2,150,177,84.7,35,79,44.3,1,2.3,2.4,-1.3,33,27,22,1,54
ENG-Premier League,2324,Crystal Palace,James Tomkins,ENG,DF,34-327,1989,0.1,6,7,85.7,62,23,6,7,85.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",27-163,1996,2.0,48,65,73.8,779,159,24,26,92.3,21,26,80.8,2,8,25.0,0,0.0,0.0,0.0,0,1,1,0,4
ENG-Premier League,2324,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26-236,1997,12.8,170,232,73.3,2139,462,106,132,80.3,45,63,71.4,4,4,100.0,3,2.0,1.0,1.0,19,4,9,2,13
ENG-Premier League,2324,Crystal Palace,Jefferson Lerma,COL,MF,29-117,1994,18.5,698,860,81.2,10597,3173,388,444,87.4,243,297,81.8,43,70,61.4,1,1.6,1.5,-0.6,18,78,12,2,70
ENG-Premier League,2324,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",31-058,1992,13.6,216,291,74.2,3011,790,131,163,80.4,73,86,84.9,6,22,27.3,1,1.7,1.2,-0.7,15,15,6,0,28
ENG-Premier League,2324,Crystal Palace,Jesuran Rak Sakyi,ENG,"MF,FW",21-137,2002,1.5,37,50,74.0,535,79,24,28,85.7,11,16,68.8,2,3,66.7,0,0.2,0.1,-0.2,2,2,0,0,2
ENG-Premier League,2324,Crystal Palace,Joachim Andersen,DEN,DF,27-264,1996,24.0,1137,1434,79.3,25102,9203,311,361,86.1,639,692,92.3,182,349,52.1,2,1.5,1.1,0.5,13,124,15,8,107
ENG-Premier League,2324,Crystal Palace,Joel Ward,ENG,DF,34-113,1989,14.8,518,671,77.2,8308,3794,275,309,89.0,207,258,80.2,30,77,39.0,1,0.2,0.2,0.8,3,44,7,3,48
ENG-Premier League,2324,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32-161,1991,20.2,479,642,74.6,6929,1312,302,349,86.5,148,192,77.1,17,50,34.0,5,3.5,2.0,1.5,17,29,19,7,51
ENG-Premier League,2324,Crystal Palace,Marc Guéhi,ENG,DF,23-221,2000,21.2,1073,1239,86.6,21710,7619,331,370,89.5,611,647,94.4,124,203,61.1,1,0.5,0.9,0.5,5,80,4,0,58
ENG-Premier League,2324,Crystal Palace,Matheus França,BRA,"MF,FW",19-324,2004,2.0,43,66,65.2,796,207,15,23,65.2,21,26,80.8,5,11,45.5,0,0.4,0.2,-0.4,5,4,2,0,7
ENG-Premier League,2324,Crystal Palace,Michael Olise,FRA,"FW,MF",22-069,2001,8.4,302,429,70.4,4994,1552,164,189,86.8,87,118,73.7,37,82,45.1,3,3.3,2.9,-0.3,22,27,17,3,38
ENG-Premier League,2324,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21-327,2002,1.9,71,89,79.8,1001,267,39,46,84.8,25,29,86.2,2,4,50.0,0,0.0,0.1,0.0,1,2,0,0,10
ENG-Premier League,2324,Crystal Palace,Nathaniel Clyne,ENG,DF,32-320,1991,8.0,257,322,79.8,3855,1642,143,156,91.7,91,110,82.7,17,29,58.6,0,0.0,0.1,0.0,1,21,2,1,18
ENG-Premier League,2324,Crystal Palace,Odsonne Édouard,FRA,FW,26-034,1998,14.0,180,253,71.1,2167,445,123,150,82.0,39,55,70.9,5,8,62.5,0,1.1,0.8,-1.1,15,9,11,1,24
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,30-009,1994,0.0,0,5,0.0,0,0,0,0,,0,0,,0,5,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30-331,1993,16.0,288,468,61.5,9322,6910,41,42,97.6,124,128,96.9,123,294,41.8,0,0.0,0.0,0.0,0,10,0,0,0
ENG-Premier League,2324,Crystal Palace,Tyrick Mitchell,ENG,DF,24-171,1999,22.1,728,1006,72.4,11888,5116,348,418,83.3,324,424,76.4,44,99,44.4,2,1.1,1.2,0.9,11,50,18,6,66
ENG-Premier League,2324,Crystal Palace,Will Hughes,ENG,MF,28-308,1995,14.3,465,559,83.2,6611,1844,257,290,88.6,173,194,89.2,16,41,39.0,0,0.8,1.3,-0.8,17,44,10,2,42
ENG-Premier League,2324,Everton,Abdoulaye Doucouré,MLI,"FW,MF",31-049,1993,17.0,396,515,76.9,5443,1299,231,274,84.3,127,152,83.6,14,33,42.4,0,2.4,1.0,-2.4,24,30,10,1,51
ENG-Premier League,2324,Everton,Alex Iwobi,NGA,MF,27-292,1996,1.6,27,42,64.3,545,179,13,14,92.9,7,10,70.0,7,15,46.7,0,0.2,0.4,-0.2,4,1,3,1,4
ENG-Premier League,2324,Everton,Amadou Onana,BEL,MF,22-187,2001,15.7,556,664,83.7,9307,2487,288,321,89.7,191,222,86.0,59,78,75.6,0,2.4,1.0,-2.4,11,56,10,1,71
ENG-Premier League,2324,Everton,André Gomes,POR,MF,30-204,1993,1.8,48,68,70.6,833,320,26,35,74.3,17,21,81.0,4,9,44.4,0,0.4,0.2,-0.4,3,7,3,1,10
ENG-Premier League,2324,Everton,Arnaut Danjuma,NED,"MF,FW",27-019,1997,6.6,102,152,67.1,1420,357,57,69,82.6,37,54,68.5,2,7,28.6,0,1.1,0.4,-1.1,6,6,2,0,9
ENG-Premier League,2324,Everton,Ashley Young,ENG,"DF,MF",38-225,1985,16.1,489,712,68.7,8879,4114,217,244,88.9,205,268,76.5,60,160,37.5,0,1.2,1.3,-1.2,17,40,20,11,58
ENG-Premier League,2324,Everton,Ben Godfrey,ENG,DF,26-035,1998,3.4,70,110,63.6,1298,636,25,39,64.1,37,45,82.2,6,21,28.6,0,0.2,0.0,-0.2,1,7,2,0,9
ENG-Premier League,2324,Everton,Beto,GNB,FW,26-019,1998,6.3,60,108,55.6,745,150,34,54,63.0,21,36,58.3,2,3,66.7,0,0.8,0.1,-0.8,9,6,2,0,8
ENG-Premier League,2324,Everton,Dominic Calvert-Lewin,ENG,FW,26-340,1997,15.3,150,277,54.2,1788,356,109,170,64.1,31,67,46.3,3,7,42.9,1,1.5,0.6,-0.5,13,9,6,0,18
ENG-Premier League,2324,Everton,Dwight McNeil,ENG,"MF,FW",24-089,1999,18.4,447,681,65.6,7634,2524,242,282,85.8,135,198,68.2,59,141,41.8,4,5.6,4.1,-1.6,31,35,27,12,59
ENG-Premier League,2324,Everton,Idrissa Gana Gueye,SEN,MF,34-146,1989,13.2,442,533,82.9,6804,1759,218,249,87.6,191,220,86.8,22,38,57.9,0,0.7,0.6,-0.7,10,45,6,1,52
ENG-Premier League,2324,Everton,Jack Harrison,ENG,"MF,FW",27-091,1996,16.4,240,386,62.2,3463,1467,135,170,79.4,83,130,63.8,13,43,30.2,3,2.5,1.9,0.5,19,22,23,7,41
ENG-Premier League,2324,Everton,James Garner,ENG,MF,22-343,2001,21.9,579,766,75.6,9904,2947,275,318,86.5,231,274,84.3,57,122,46.7,1,3.1,2.6,-2.1,30,63,17,4,74
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,31-092,1992,24.0,702,943,74.4,14899,6422,240,291,82.5,340,400,85.0,115,216,53.2,1,1.7,1.4,-0.7,16,72,14,2,76
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21-237,2002,21.0,622,794,78.3,11529,4359,249,287,86.8,297,344,86.3,61,124,49.2,0,0.9,1.0,-0.9,3,31,1,0,36
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29-349,1994,24.0,595,940,63.3,20411,16312,79,79,100.0,228,239,95.4,287,614,46.7,0,0.1,0.3,-0.1,4,50,2,0,3
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,21-047,2003,2.0,30,48,62.5,373,77,21,25,84.0,6,12,50.0,2,4,50.0,0,0.3,0.1,-0.3,2,0,2,1,2
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,31-039,1993,4.5,152,195,77.9,3188,1127,40,51,78.4,88,101,87.1,21,37,56.8,0,0.0,0.1,0.0,0,12,0,0,10
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,22-126,2001,10.7,367,512,71.7,5741,2638,207,236,87.7,115,170,67.6,35,82,42.7,2,1.7,1.0,0.3,8,30,14,6,37
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,27-189,1996,1.2,22,26,84.6,353,14,12,13,92.3,8,9,88.9,1,1,100.0,0,0.1,0.0,-0.1,1,0,0,0,0
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,35-131,1988,2.6,63,101,62.4,1015,525,36,47,76.6,23,31,74.2,4,17,23.5,0,0.0,0.1,0.0,0,6,1,0,12
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,21-053,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20-352,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24-266,1999,19.0,558,755,73.9,8606,3735,313,359,87.2,181,241,75.1,47,105,44.8,0,0.6,0.6,-0.6,6,25,10,6,35
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19-271,2004,0.7,12,19,63.2,173,26,6,10,60.0,6,8,75.0,0,0,,0,0.4,0.0,-0.4,1,0,1,0,2
